submission_id,why_drink_other
42NbXo,Antidepressant
VZ16j6,It’s a fun time with friends
42NbB5,I genuinely enjoy the process of brewing coffee
OABN7a,To fit in and sometimes as a change  (I'm an extreme bitter taster and find all coffee to be horribly bitter)
0EjR2Q,I trying to get into coffee and better my palette
qbElY2,My wife enjoys it and so I’ve fallen into the habit
kYRPZR,Routine (non ritual)
zKQ6G8,Suppress hunger in the morning
9dJKWV,It's an enjoyable hobby
g5NoNd,More of a tea drinker
g5NoNd,my husband makes me try coffee every now and then
jB9Vk6,i don't
42NbLk,My partner makes it for me
zKQ6Ja,I'm Cuban-American. It's in my DNA.
jB9VrQ,Adventure
5dqApP,Interesting Hobby
5dqAko,The smell and ritual remind me of simpler times.
VZ16Nl,Creative endeavor
LdM2E1,It
6dQByN,I love the ritual
6dQByN,it brings joy into my every day life.
qbElqg,Cultural connection to partner
eBxXOl,Complete Breakfast
DVvG6Z,To share the experience with my partner
DVvG6Z,who loves coffee
zKQ90R,All of the above and it’s a cue for me to be productive
1r2erg,Relaxation and calming after meals
PABxYe,It's a flavor hobby that isn't too expensive like fine dining and has no alcohol like wine and whiskey
g5NlDN,Clears my throat
xdNqlo,Coffee for me is something so many people around the world partake in. I feel like part of that community when I make coffee for myself and others.
5dq7xv,I like the ritual; something to look forward to
VZ1eAl,Another beverage option/variety
rlr4e2,"""health benefits"""
NABj2p,It's more enjoyable than water without the need for sugar and added flavoring.
42N6WX,I'm addicted
KMB9Q8,Fun
MAdWKM,It’s a way for my partner who loves coffee and I to bond and see out new experiences
J2kQlJ,Culture
J2kQlJ,history
J2kQlJ,shared
1r2LM4,all of the above
lNlxDk,Bonding with friends and family
jB9j11,I love the culture of it
kYR2Dr,I mostly like to drink coffee abroad when there's something unique to enjoy like filter coffee in south India
kYR2Dr,or Turkish coffee.
RzBOa9,Enjoy tasting sessions; rarely drink
g5NB6d,Warm drink on cold days
VZ1rGy,I like the caffeine but avoid having too much of it.
jB9Ne1,It's fun
OAB6ER,The technical challenge of mixing art and science to craft beverages is a worthwhile challenge and hobby... and part of my job.
5dqyoM,In a mixed drink
g5NRxN,getting out of the house
AlboEW,It makes me feel good
eBNZA0,I don't NEED the caffeine
eBNZA0,but it's a nice side effect.
yl0Zep,It’s just so much fun to try different brew methods and make delicious drinks.
Al6PLz,Social
pLPjdJ,It's fun
pLPjdJ,I like the variety my local roaster offers
8dJ1rA,Social
8dJoAY,It provides a way of connecting with others
rl0jRp,I love everything about it
Al6rdo,I like discovering flavors and the process of dialing in
KMPpk8,Vibes
zK0EJk,Autistic special interest
xd0VLG,I Enjoy learning about coffee
9d6BKG,brings joy to my husband
dYZELD,to do this test
ZdG8b0,Culturally important to me
lN0BDN,To stick it to England and their unfair tea levy
g5QeBd,I don't generally drink coffee
KMPxY7,It allows a zen moment in the day to take a break and enjoy something I love.
5dl90b,I enjoy the process of making a pour over coffee.
WAeRVL,Love the culture and social aspects.
YZoajN,Aesthetic of going to a cafe
QAxRll,I like how it pairs with my morning oatmeal and other foods
QAxRll,"like my healthy ""cookies"" and actual desserts. It is my favorite warm drink."
PA25pP,Chasing the dragon to make cafe quality cups at home
Al6dOW,It is a key social setting for me
VZ90e6,I don't drink coffee unless rarely when its a blended drink
VZ90e6,then I drink it for taste
KMPMg8,Grew up drinking it (sentiment)
xd0Z4G,The design of the coffee apparati intrigues me.
0EbyNZ,I love everything about coffee
0EbyNZ,the history
0EbyNZ,the love that goes into it as a craft and as a way to make a living from the farmers all the way over to the baristas
pL0p0B,Hydration (I water mine down a lot)
RzZNGK,It's fun
MArWLM,My husband makes it
NA4a8G,Connection with my dad
7dJy1L,My husband makes coffee and I drink whatever he makes.
RzZNVQ,Meditation
5dlNZb,Accompany my husband
421Z6r,enjoy the sensations & experience
eBNdrx,I have an exercise/writing routine that involves biking to cafés.
xd0kZv,It soothes my arthritis
aBjb9E,I enjoy developing the palate
VZoLb6,I try my partner’s coffee
zKWxaE,polyphenols (antioxidants)
aBZQ8y,My son offers me taste of his often
eB955Q,Enjoy experience
eB9ZWo,Spouse enjoys coffee and wants to share with me
eB9ZWo,so occasional sips of their coffee is what I taste. Can’t do caffeine
eB9ZWo,and don’t care for the taste.
OA8aLg,I like the culture and learning about it.
GrY6JZ,It gives me a community to chat with online about something I'm passionate about
GrY6Xp,it's a hobby
zKWjd1,I love coffee….
6drDqP,A wonderful
6drDqP,flavorful
6drDqP,recreational activity whether indoors
6drDqP,outdoors
6drDqP,at home
6drDqP,or a café. Deep in your own thoughts
6drDqP,with good company
6drDqP,or enjoying a book to simply stop
6drDqP,relax and enjoy life.
PA8pVe,smell
Rz8dZK,My boyfriend likes coffee
Rz8dZK,and I drink it with him
oAlD8M,I don't generally drink coffee
24OABe,It feels nice.
AlWdeD,weight loss
Rz8zrp,Only drink coffee when my husband or a friend offers me a taste.
0EoPBN,Social
oAloDO,I do not drink coffee
GrYLqQ,I really enjoy a hot mug of coffee in my hands.
WAlYYN,Socially
NA8Yvp,Fun Hobby
jBGkaJ,I don’t drink it
0EoaXN,exploration
24O70L,Usually a tea drinker
24O70L,only drink coffee very occasionally
24O70L,typically when there are no good tea options
Rzvqrp,Social drinking
GrXOqp,Hobby
Zd1Eao,I have ADHD
Zd1Eao,caffeine helps my brain
BGjXPN,I’m a “social drinker”
BGjXPN,my husband enjoys coffee and I’ll try it with him. I also enjoy the experience of enjoying something at a coffee shop
BGjXPN,but I am admittedly a tea gal not a coffee drinker.
lNMvqk,I'm not a coffee drinker.
24Dylp,I enjoy the process of making coffee
RzVOOv,Having something to talk about with a friend
OAE5V7,socializing
KMGOe7,my partner is a long time coffee drinker
KMGOe7,I started recently as something to do with her in the morning
jBEVgx,It’s fun
0EAKN6,I don't really drink coffee
Xe90az,Stimulant self medication
